city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Tucuruí,Tucurui,-3.68,-49.72,Brazil,BR,BRA,Pará,,76337.0,1076000076
Campo Mourão,Campo Mourao,-24.0496,-52.42,Brazil,BR,BRA,Paraná,,75401.0,1076799533
Cachoeira do Sul,Cachoeira do Sul,-30.03,-52.91,Brazil,BR,BRA,Rio Grande do Sul,,74694.0,1076336795
Bacabal,Bacabal,-4.23,-44.8,Brazil,BR,BRA,Maranhão,,72372.0,1076125117
Pôrto União,Porto Uniao,-26.2396,-51.08,Brazil,BR,BRA,Santa Catarina,,71578.0,1076057988
Goiana,Goiana,-7.5596,-35.0,Brazil,BR,BRA,Pernambuco,,71549.0,1076692421
Ijuí,Ijui,-28.3895,-53.9199,Brazil,BR,BRA,Rio Grande do Sul,,71202.0,1076683915
Altamira,Altamira,-3.1996,-52.21,Brazil,BR,BRA,Pará,,70888.0,1076710878
Paracatu,Paracatu,-17.1996,-46.87,Brazil,BR,BRA,Minas Gerais,,70753.0,1076347421
Iguatu,Iguatu,-6.36,-39.3,Brazil,BR,BRA,Ceará,,70380.0,1076734026
Paragominas,Paragominas,-2.9596,-47.49,Brazil,BR,BRA,Pará,,69613.0,1076092855
Guajará-Mirim,Guajara-Mirim,-10.8,-65.3499,Brazil,BR,BRA,Rondônia,,69586.0,1076692558
Jabuticabal,Jabuticabal,-21.25,-48.33,Brazil,BR,BRA,São Paulo,,69394.0,1076368201
Balsas,Balsas,-7.52,-46.05,Brazil,BR,BRA,Maranhão,,68056.0,1076067021
Santa Inês,Santa Ines,-3.66,-45.39,Brazil,BR,BRA,Maranhão,,67424.0,1076053036
Rio Negro,Rio Negro,-26.1,-49.79,Brazil,BR,BRA,Paraná,,65597.0,1076653242
Santo Ângelo,Santo Angelo,-28.3,-54.28,Brazil,BR,BRA,Rio Grande do Sul,,65420.0,1076113692
Ji-Paraná,Ji-Parana,-10.8333,-61.967,Brazil,BR,BRA,Rondônia,,65016.0,1076313540
Gurupi,Gurupi,-11.7196,-49.06,Brazil,BR,BRA,Tocantins,,64789.0,1076649238
Parintins,Parintins,-2.61,-56.74,Brazil,BR,BRA,Amazonas,,64428.0,1076090375
Curvelo,Curvelo,-18.7596,-44.43,Brazil,BR,BRA,Minas Gerais,,63954.0,1076253887
Caçador,Cacador,-26.77,-51.02,Brazil,BR,BRA,Santa Catarina,,63726.0,1076703793
Irecê,Irece,-11.3,-41.87,Brazil,BR,BRA,Bahia,,63626.0,1076348562
Catalão,Catalao,-18.18,-47.95,Brazil,BR,BRA,Goiás,,63544.0,1076169871
Vilhena,Vilhena,-12.7166,-60.1166,Brazil,BR,BRA,Rondônia,,63231.0,1076196581
Valença,Valenca,-13.3596,-39.08,Brazil,BR,BRA,Bahia,,63231.0,1076455406
Itapeva,Itapeva,-23.9796,-48.88,Brazil,BR,BRA,São Paulo,,62957.0,1076767110
Tupã,Tupa,-21.93,-50.52,Brazil,BR,BRA,São Paulo,,62035.0,1076738637
Fernandópolis,Fernandopolis,-20.2696,-50.26,Brazil,BR,BRA,São Paulo,,61931.0,1076205721
Canela,Canela,-29.36,-50.81,Brazil,BR,BRA,Rio Grande do Sul,,60806.0,1076049094
Piraçununga,Piracununga,-21.99,-47.43,Brazil,BR,BRA,São Paulo,,60413.0,1076467647
Pirapora,Pirapora,-17.33,-44.93,Brazil,BR,BRA,Minas Gerais,,60164.0,1076124834
Caratinga,Caratinga,-19.79,-42.14,Brazil,BR,BRA,Minas Gerais,,60066.0,1076504581
Itapetinga,Itapetinga,-15.25,-40.25,Brazil,BR,BRA,Bahia,,59721.0,1076005350
São Borja,Sao Borja,-28.6596,-56.01,Brazil,BR,BRA,Rio Grande do Sul,,59613.0,1076315333
Caràzinho,Carazinho,-28.29,-52.8,Brazil,BR,BRA,Rio Grande do Sul,,59417.0,1076906274
Santa Rosa,Santa Rosa,-27.8695,-54.46,Brazil,BR,BRA,Rio Grande do Sul,,59281.0,1076071027
Manacapuru,Manacapuru,-3.2896,-60.62,Brazil,BR,BRA,Amazonas,,59102.0,1076484341
Telêmaco Borba,Telemaco Borba,-24.33,-50.62,Brazil,BR,BRA,Paraná,,58880.0,1076867165
Guanambi,Guanambi,-14.2296,-42.79,Brazil,BR,BRA,Bahia,,58877.0,1076791780
Ariquemes,Ariquemes,-9.9396,-63.08,Brazil,BR,BRA,Rondônia,,58096.0,1076442639
Timbaúba,Timbauba,-7.4996,-35.32,Brazil,BR,BRA,Pernambuco,,57534.0,1076430214
Picos,Picos,-7.08,-41.44,Brazil,BR,BRA,Piauí,,57495.0,1076752928
Bragança,Braganca,-1.05,-46.77,Brazil,BR,BRA,Pará,,57163.0,1076855072
Arcoverde,Arcoverde,-8.42,-37.07,Brazil,BR,BRA,Pernambuco,,57163.0,1076499713
Cruzeiro do Sul,Cruzeiro do Sul,-7.63,-72.67,Brazil,BR,BRA,Acre,,56862.0,1076881427
Serrinha,Serrinha,-11.6496,-39.01,Brazil,BR,BRA,Bahia,,56829.0,1076832200
Vacaria,Vacaria,-28.4996,-50.94,Brazil,BR,BRA,Rio Grande do Sul,,56765.0,1076001152
Janaúba,Janauba,-15.7996,-43.31,Brazil,BR,BRA,Minas Gerais,,56572.0,1076293809
Formiga,Formiga,-20.46,-45.43,Brazil,BR,BRA,Minas Gerais,,56404.0,1076994550
Nova Viçosa,Nova Vicosa,-17.88,-39.37,Brazil,BR,BRA,Bahia,,55980.0,1076116919
Itapipoca,Itapipoca,-3.4995,-39.58,Brazil,BR,BRA,Ceará,,55784.0,1076980375
Estância,Estancia,-11.2696,-37.45,Brazil,BR,BRA,Sergipe,,55654.0,1076069381
São Gabriel,Sao Gabriel,-30.32,-54.32,Brazil,BR,BRA,Rio Grande do Sul,,55434.0,1076674208
Concórdia,Concordia,-27.23,-52.03,Brazil,BR,BRA,Santa Catarina,,55367.0,1076922195
São José de Ribamar,Sao Jose de Ribamar,-2.55,-44.07,Brazil,BR,BRA,Maranhão,,55265.0,1076976057
Caicó,Caico,-6.4596,-37.1,Brazil,BR,BRA,Rio Grande do Norte,,54934.0,1076251820
Penápolis,Penapolis,-21.41,-50.08,Brazil,BR,BRA,São Paulo,,54477.0,1076587749
Coari,Coari,-4.08,-63.13,Brazil,BR,BRA,Amazonas,,53305.0,1076899406
Registro,Registro,-24.49,-47.84,Brazil,BR,BRA,São Paulo,,53273.0,1076533111
Camaquã,Camaqua,-30.8396,-51.81,Brazil,BR,BRA,Rio Grande do Sul,,53169.0,1076449009
Crateús,Crateus,-5.1656,-40.666,Brazil,BR,BRA,Ceará,,52933.0,1076897989
Andradina,Andradina,-20.9096,-51.3799,Brazil,BR,BRA,São Paulo,,52406.0,1076417183
Barra do Garças,Barra do Garcas,-15.8796,-52.26,Brazil,BR,BRA,Mato Grosso,,52398.0,1076425403
Batatais,Batatais,-20.89,-47.59,Brazil,BR,BRA,São Paulo,,51976.0,1076581214
Itacoatiara,Itacoatiara,-3.14,-58.44,Brazil,BR,BRA,Amazonas,,51509.0,1076759384
Tefé,Tefe,-3.36,-64.7,Brazil,BR,BRA,Amazonas,,51437.0,1076049089
Araguaína,Araguaina,-7.19,-48.21,Brazil,BR,BRA,Tocantins,,50444.0,1076632868
Quixadá,Quixada,-4.97,-39.02,Brazil,BR,BRA,Ceará,,49328.0,1076173437
Barra do Corda,Barra do Corda,-5.5096,-45.26,Brazil,BR,BRA,Maranhão,,48901.0,1076745135
Floriano,Floriano,-6.7696,-43.03,Brazil,BR,BRA,Piauí,,48587.0,1076813660
Senhor do Bonfim,Senhor do Bonfim,-10.4496,-40.19,Brazil,BR,BRA,Bahia,,48471.0,1076513309
Rio Verde,Rio Verde,-17.8196,-50.93,Brazil,BR,BRA,Goiás,,48318.0,1076844683
